Sr No,Tweet,Sentiment
8Positive7Neutral,Taking this threat of #coronavirus very seriously and thanks to @FloozieBiscuit for the mask..... ?????? https://t.co/WwBOLVEAcx,Positive
8Positive7Positive,"The UK Government has launched a new public information campaign on #coronavirus.

??Download assets: https://t.co/8trqpickspÉ/campaÉ/Negative0Negative-novel-coronavirus-
??Retweet this message
??Share the landing page link: https://t.co/8OxIog0MMy https://t.co/xQYirA0v6k",Positive
8Positive74,"Q: Your thoughts on #Coronavirus ?
Imran Khan: we will talk to the Chinese in private because that's how they are.

Q:Any plans on evacuating #Pakistanistudents stuck in China ?
Imran Khan: Frankly I don't know much about it. 
????
#CoronavirusOutbreak #WuhanVirus 
@RehamKhanNegative https://t.co/oUtWpPzizJ",Negative
8Positive75,"??RESEARCH: V-shape scenario for global growth on back of #coronavirus

Uncertainty remains high (and we are not virus experts) but we expect Chinese growth/PMI to nosedive in the short-term and rebound sharply when things normalise again

Read more here ??https://t.co/PositiveSxzEihjzv https://t.co/UvKBG8jYNY",Negative
8Positive76,Be safe and be aware ???? #coronavirus #nCovNeutral0Negative9,Negative
8Positive77,"A Prayer going out for all the people around the world, the outbreak of #coronavirus is definitely telling us something. Thank God for a new healthy day, stay blessed and happy??",Negative
8Positive78,#zuma probably also have the #coronavirus @DaanBarnard ??,Negative
8Positive79,"??BREAKING NEWS ?? 
#America closes its borders to anyone who has been in China in last two weeks!

#Coronavirus ??#China accuses #US of causing panic and 'spreading fear'
 https://t.co/NegativehrGBaM75H",Neutral
8Positive80,"What does a couple mean? Two elderly patients of #coronavirus in their 80s said goodbye in ICU, this could be the last time to meet and greet https://t.co/XbYt8WNeutralKnc
This is the true love?",Neutral
8Positive8Negative,"These are Nurses, Doctors &amp; paramedic staff treating #coronavirus patients in Wuhan, China. This is how their life is at risk but still they are working hard day &amp; night to control the situation.
We must appreciate these brave people working for humanity.??? https://t.co/WTRJ5c4xfZ",Negative
8Positive8Neutral,"The @NHSuk staff have been given a small guide on how to handle #coronavirus 

The UK-wide campaign has been launched offering the public some advice on how to stop the spread of coronavirus. 

More information below ??

https://t.co/QbBbYzfSEE",Positive
8Positive8Positive,"Negative700 foreigners from Wuhan arrived Japan by air from jan Neutral0 to jan NeutralPositive. 

??????

#coronavirus #coronavirusjapan #CoronavirusOutbreak",Negative
8Positive84,WeÕre doomed! ?? #coronavirus #Lebanon,Neutral
8Positive85,"Catch Dr @FeiChenUoL talking #coronavirus and Chinese urbanism with Roger Phillips on Radio Merseyside, between now and Neutralpm ?? https://t.co/fNPeGbJJmNegative

@LivUniArch @sotauol @livuniHSS",Positive
8Positive86,"?? Trump boasts of having ""closed"" his country to #China for the #Coronavirus 

https://t.co/wCUEg7g466, 

#Pol’tica #Politics https://t.co/OiRnjl6iPositiveV",Positive
8Positive87,"Met Doctor and discussed #coronavirus he advised to drink lots of water , eat healthy food and atleast 6-8 hours sleep . Everything is fine but ye sleep kaise adjust hoga ?? #healthcare #coronavirusindia #sleep",Neutral
8Positive88,Prevention is always better than cure ???? #CoronaVirus #nCoVNegative9,Neutral
8Positive89,So much for XXX top. I'm done buying from these #CoronaVirus merchants.. ???? I just have to improvise ?? https://t.co/kjnOZNeutralaOwf,Neutral
8Positive90,"#coronavirus We keep you updated 
????????
wish everyone safety and health 
????????
#PrayForChina #WuhanVirus https://t.co/YsXKZyZhAs",Neutral
8Positive9Negative,"Tianjin has 56 cases, but is preparing NeutralNegativePositive0 beds just for #coronavirus patients. 

Already building Positive hospitals on top of a coronavirus-only hospital. 

Speculation is that this is preparation for when #Beijing numbers ?? as people return to the city. 

#ChinaCoronaVirus #China https://t.co/nssMLigaab",Neutral
8Positive9Neutral,"?? Commissioner @SKyriakidesEU receives Vili Bero?, Croatian Minister for Health.
#EUNeutral0Neutral0HR #coronavirus ????????

More photos: https://t.co/jjvQml8ZAZ https://t.co/qsDEJVqws5",Positive
8Positive9Positive,"#coronavirus #china  touched by at least Positive pairs of hands, straight off the floor and into a sealed box for your protection... ?? https://t.co/qbUemWuS88",Neutral
8Positive94,"Influenza-associated Pediatric Mortality ?@MariaBartiromo? #coronavirus in news today. Yet children die from influenza. Get a Flu shot!No mention of Health of dead victims of Coronavirus. Often elderly,children,chronically ill people at high risk ?? https://t.co/u89woyF5De",Negative
8Positive95,"In order to tackle #coronavirus menace, china built a Negative000 bed hospital in mere Negative0 days and 

here in India.
Guv mutrr research Foundation has declared cow urine as it's cure.

. the difference lies in the ideology?
#coronoavirusoutbreak",Negative
8Positive96,"Good decision by Pakistan??, travel bans by the US is a clear indication that #Coronavirus is a strategy to wage war against China. @afghanfarzanaNegative",Negative
8Positive97,The latest Managing Eventualityª! https://t.co/qnykEDTlad #coronavirus #socialismkills,Negative
8Positive98,"#coronavirus
You like to eat animal., Think, if someone bites you and hurts you than will know how painful it is to harm others. So stop eating meat. 
??Must know the Real way off Worship watch Sadhna TV at ???? 7:Positive0 p.m. IST.. https://t.co/KhPXOnZBfS",Negative
8Positive99,FM Wang Yi talked with @GermanyDiplo FM @HeikoMaas over the ?? about the #coronavirus outbreak. Foreign Minister Wang reaffirmed that ???? is ready to step up cooperation with ???? and the rest of the international community to tackle the crisis: https://t.co/yNClyKYUtNeutral,Negative
8400,"Positiverd case of #Coronavirus is found #positive in #Kerala, #India.
#Government should locked down the city for few days as #virus is spreading very fast from person to person. I'm very much concerned about the #CoronavirusOutbreak ??  #PrayForVictims @PMOIndia @MoHFW_INDIA @WHO ????",Neutral
840Negative,"#coronavirus has a fairly low mortality rate. #SARS, #MERS, &amp; some types of #fluÑhave rates much higher.
 [- @WHO].
For some extra perspective, do you know how many people have been killed by #measles in #DRC since Neutral0Negative8?
    ?????? 
More Than Six Thousand,  most of them children.",Positive
840Neutral,Here's what you need to know about #coronavirus ?? https://t.co/Neutral0b4FRs764,Positive
840Positive,?? UPDATE: What is the new #coronavirus #Neutral0Negative9nCoV and what do we know about the outbreak so far? @DrTregoning &amp; @SRileyIDD break down the latest info on the @ImperialMed blog https://t.co/FkaZMkQJuU,Positive
8404,"#Coronavirus ??
#US bars foreigners who recently visited #China

But will they quarantine ANY #American citizen for two weeks who has travelled on a plane from China?

If not this whole measure is completely pointless

More half-arsed measures from #Trump! https://t.co/hlCkcNoJqq",Negative
8405,now we dont know who's infected #Ethiopia #CoronavirusOutbreak  ?? safe mode on,Negative
8406,"And some people out here still making memes and joking 'bout it??
#Coronavirus",Positive
8407,"Number of countries (or regions) outside Mainland #China w/ confirmed #coronavirus cases.  

Currently Positive4 regions (Neutral6 countries) affected. ??

Data source: https://t.co/yhy6Awn5iA 

#CoronavirusOutbreak https://t.co/qJNegativeqTWNegativelDM",Neutral
8408,"#Coronavirus This is how Indonesia welcomed returnees from #Wuhan : hazmats &amp; disinfectants. In France, nothing at all, barely a little ?? mask. The tainted blood affair was useless.",Positive
8409,"Wonderful news! The New Hospital ?? shall admit #Coronavirus patients tomorrow! 
Well done ?? Wuhan China ???? !",Negative
84Negative0,The best guide to why China #CoronavirusOutbreak matters to OPEC and Saudi most from @eklavyagupte and EMEA team at @SPGlobalPlatts. #OOTT ??,Negative
84NegativeNegative,"After i came back from China #coronavirus 
So today I gifted this to her and her reaction was priceless, she started crying ??",Negative
84NegativeNeutral,#Beijing pharmacies in times of #coronavirus ?? https://t.co/JNeutralI69bjPositiveku,Positive
84NegativePositive,"The #coronavirus will end soon because it was made in China ??
#copied",Negative
84Negative4,The only person who can save China from #Coronavirus ?? https://t.co/ppLpKOLADP,Negative
84Negative5,"??As #China didn't even approve #USA CDC to go and study the #CoronavirusOutbreak until Friday,Jan PositiveNegativest. Safety first ???? #coronaviruse Numbers grow-confirmedÊon Monday that there have been Negative7,Neutral05 cases of the #coronavirus in the country with Positive6Negative deaths.
https://t.co/PwXIATNeutral0yB",Neutral
84Negative6,"This is heartbreaking ??Two elderly patients of #coronavirus in their 80s saying goodbye in ICU, this could probably be the last time to hold hands &amp; talk to each other.. Too painful.. 
#coronavirusindia   #coronarivirus  #caronavirusoutbreak  #Coronaindia https://t.co/bn9UKSt7Positivei",Neutral
84Negative7,"Height of Stupidity...??
#coronavirus https://t.co/ZUmm9sVYBg",Neutral
84Negative8,?? #coronavirus death toll in #China climbs over weekend to more than Positive50 killed. https://t.co/xplNeutraliwAeck,Neutral
84Negative9,"I feel it and you all do ??
.
.
.

.
.
.
.
.
.

#coronavirus #china #memes #rpm #preppertalk #bronchitis #bacterialvaginosis #aids #dallas #repost #urbansurvival #beready #preppernation #virus #doomsdaypreppersÉ https://t.co/eLVqoWZKEI",Neutral
84Neutral0,"Still No cases of #coronavirus or terrorism in Poland... Mmm I wonder why ??

#CoronavirusOutbreak",Neutral
84NeutralNegative,"#Coronavirus is not a normal virus.
It already taken or affected many of people's life??
Let pray to God? that it doesn't affect or destroy someone's life.
May God protect us from this virus.??
This virus already reached in India????
#StaysafeIndiawale ??????",Negative
84NeutralNeutral,"#Coronavirus ??

As person to person spread had been confirmed
EVERYONE travelling on a flight to the from China should be quarantined
Including the Aircrew!

This will mean flights be grounded 
As the illness can be spread by asymptomatic victims https://t.co/hlCkcNoJqq",Negative
84NeutralPositive,"?? Aliens are like us; GAFA smackdown; peak car; nCov; creative AI; vegans, libraries &amp; email ++ #Neutral55 https://t.co/8mYONqNeutrals4S #coronavirus",Negative
84Neutral4,"First patients arrive at Wuhan's Negative,000-bed #coronavirus hospital

?? Positive6Neutral dead
?? Neutral,Neutral96 patients in severe/critical condition
?? Negative7,PositivePositive5 confirmed cases
?? NeutralNegative,558 suspected cases
?? 497 patients cured 

https://t.co/WSGKONeutralqfL6 https://t.co/TLKifbq6OD",Neutral
84Neutral5,"I am not dead ?? 

So

Let me check on

#coronavirus flu ?? 

Prob still getting worse

A virus ?? can go exponentially in growth

Quickly",Neutral
84Neutral6,"No thanks, even other beers ?? are distancing themselves from #coronavirus ?????????? https://t.co/cVwFcwHcRR",Negative
84Neutral7,"?????? Stay Safe ??????

#CoronaVirus #WHO https://t.co/l76AwGI4vn",Neutral
84Neutral8,"???? Chinese market is down 8%, #Coronavirus concerns, #Brexit negotiations and so much more in our Daily Market Outlook! ?? ??
?? https://t.co/eUCDo4FxOv
$WTI $EURUSD $GBPUSD $USDJPY $AUDUSD #MarketOutlook #Tickmill #Trading #MarketNews #Markets https://t.co/AYwHsT8ero",Neutral
84Neutral9,Tune into ??Negative4gmt @BBCNewshour @bbcworldservice weÕll talk to @bbclysedoucet about #yemen look at #coronavirus #hongkong &amp; speak to @aiww #china #family #art &amp; #refugees  join us ... https://t.co/jNIMSBo9Jq,Neutral
84Positive0,Death toll rises up to Positive6Negative ?? #coronavirus,Neutral
84PositiveNegative,"It's fucking scary to watch so many Chinese still arriving at our airport. ??
#coronavirus",Neutral
84PositiveNeutral,IÕm going to die a virgin because of this #coronavirus ??,Neutral
84PositivePositive,"Sending #love, positive thoughts and #prayers to everyone affected by the #Wuhan #Coronavirus situation...

Stay strong and GET WELL SOON everyone ??

https://t.co/VyCq5znFqO",Neutral
84Positive4,Coronavirus update!!????????????????????#Wuhan #CoronavirusOutbreak #China #Coronavirus #PrayForWuhan #coronavirus #CoronavirusOutbreak #PrayForChina #coronaviruswuhan #Neutral0Negative9nCoV #China #Wuhan #WuhanCoronavirus #ChinaVirus #WuhanPneumonia #CoronaOutbreak https://t.co/XOUNegativeqTOaiO,Neutral
84Positive5,"Death toll is 5NeutralNegative, ChinaÕs consulate in Istanbul updated the death toll. ??  #coronavirus",Neutral
84Positive6,Coronavirus update!!????????????????????#Wuhan #CoronavirusOutbreak #China #Coronavirus #PrayForWuhan #coronavirus #CoronavirusOutbreak #PrayForChina #coronaviruswuhan #Neutral0Negative9nCoV #China #Wuhan #WuhanCoronavirus #ChinaVirus #WuhanPneumonia #CoronaOutbreak https://t.co/syvueyEomX,Neutral
84Positive7,"#WSG - found another hidden gem

This technology can detect #coronavirus and other #Fever like symptoms,

This is another fabulous technology which cannot or shouldnÕt be ignored

??#wsg then #ncyt ,then #Quarantine then #Medical treatment 

Vaccine is long time away",Positive
84Positive8,"#CoronaVirus or not, Crimes against humanity will keep Sri Lanka Tourism down! #LKA ?????????? https://t.co/sRYQJBcmDj",Neutral
84Positive9,"?? Situation in Beijing deteriorating - ""A cluster of #coronavirus infection case was seen in a #Beijing hospital"": 9 patients: 5 medical personnel and 4 hospitalized patients were infected. https://t.co/FiGnPpQcD5",Neutral
8440,People are flooding the internet with so much racism and misinformation  about #coronavirus and the people of China. You all fucking embarrass me. Stay strong  #China #HK ?? #US. Check you facts! https://t.co/hMrcV4Iqgu,Negative
844Negative,Me with #CoronaVirus ?? https://t.co/WYy8fZyw8I,Negative
844Neutral,"EARTH MATTERS - The #Deadly ?? #Virus of #Globalism. -- #WotW... ??
#Coronavirus ??
https://t.co/KfNegativegyfGpol",Negative
844Positive,"The demand for protective masks has increased in China due to the #coronavirus outbreak.  We are looking for certified manufacturers for N95 masks to connect with potential buyers from #China. DM us if you know anyone. 

Keep fighting Wuhan, keep fighting China ???????? #N95 #masks",Positive
8444,"Literal na #MakeItWithYou.

Hoping they can MakeItThrough 
their #coronavirus journey. ????????????

video cto https://t.co/kntTQzMWKf",Negative
8445,"The reopening of schools in Taiwan following the winter break has been postponed to Feb. Neutral5 due to the #coronavirus outbreak, the Central Epidemic Command Center (CECC) announced Sunday. ????

https://t.co/0rC8lNegativejl9e",Negative
8446,"China constructs a hospital in Negative0 days to treat and manage #coronavirus ??
https://t.co/6vUBDbF9Uh",Negative
8447,Certainly not ?? #coronavirus https://t.co/mJ7Ww8BVYH,Positive
8448,"Hear what the #Wuhan doctor said, this virus 
??
 Isn't it just for the elderly? #coronavirus",Positive
8449,"??Please note that: In light of the current #Coronavirus alert, the Italy Visa Application Centres in China will remain closed until 9 February Neutral0Neutral0 included. The re-opening date may change, subject to further notifications from authorities.#VisaForItaly
https://t.co/iA7N58jbMw",Positive
8450,"So itÕs better to wear a mask only when necessary... ?? #CoronavirusOutbreak #coronavirus #WuhanVirus 

IÕm now on Telegram too! https://t.co/b6CPositiveRNGnU5 https://t.co/Neutralj8JxRNKNh",Negative
845Negative,"Very glad to report that medical relief supplies from #Pakistan have arrived for affectees of #CoronaVirus in #China

?? Details of med equipment
  N95 masks: 84500
  Surg Mask: Neutral79000
  Gloves: Neutral8500
  Shoes Cover : Negative5Positive00
  Gown: 7000
  Apron: 8000
  Goggles: Neutral400
  Suits: 8500 https://t.co/lv9UMNeutral0xOy",Neutral
845Neutral,OPs! thread ?? #vaccini #influenza #coronavirus,Negative
845Positive,"Suck it, ChiComs. ?? #coronavirus

Coronavirus: China accuses US of causing panic and 'spreading fear' https://t.co/MTlVhnyDdM",Neutral
8454,"ÒNothing to worry in Maguindanao.Ó Read on ??

https://t.co/4MKjwlniFT

#MindanaoDailyMirror #MDM #nCov #Coronavirus https://t.co/FYHQPceWi7",Positive
8455,"UK Govt has pledged £Neutral0m to fund vaccines for infectious diseases including #coronavirus. 

Welcome news - only by working together can we ensure #GlobalHealth.

?? https://t.co/uVyheSKv5y
@CEPIvaccines @GSK @DHSCgovuk #Neutral0Negative9nCoV #multilateralism https://t.co/CbKlbZXePositiven",Neutral
8456,"CORONAVIRUS: PUBLIC INFORMATION

Please read and share the latest information and advice on novel #coronavirus ??https://t.co/TNeutral7sXio4gr

Stay up to date by following 
@PHE_uk and  @DHSCgovuk https://t.co/zQKyh7dNeutral48",Positive
8457,"Dear God, please please let there not be #coronavirus in South Africa yet, just spent an hour at FNB with the service advisor coughing and sneezing ?? all over my ID and I. Eeeeeeeeeuuuuwwwww??????",Negative
8458,"Thurrock Council ""RT PHE_uk: Get the latest information and advice about novel #coronavirus here??https://t.co/XPositiveRiMd80KV

You can also find out more in our blog ÔNovel coronavirus (Neutral0Negative9-nCoV) - what you need to knowÕ https://t.co/6HtujTJ0Rn https://t.co/Positiverc76v0UhU""",Positive
8459,"New set of pics &amp; info r out 
on #CoronaVirus quarantine camp set up by ???? Amry in Manesar near Delhi for the 400+ Indians &amp; 7 Maldivians ??

5 showing symptoms of Cough &amp; Cold moved to Army Base Hospital.
Samples sent for tests to AIIMS.
Negative Result -Ve, awaiting for remaining 4. https://t.co/PQvduYbubv",Neutral
8460,Found the cure ????? #CoronavirusOutbreak #CoronaVirus #coronavirusuk https://t.co/daqeTuxgoR,Negative
846Negative,Canadians in #Switzerland : do you have questions about the #CoronaVirus ? The ???? authorities have updated their website and established a hotline for your concerns ?? 058.46Positive.0000 ??,Positive
846Neutral,"?? Commissioner @SKyriakidesEU receives Andrea Ammon, @ECDC_EU Director 

#Coronavirus
More photos: https://t.co/0jQFcfbJU5 https://t.co/MUTgPPositiveArTY",Positive
846Positive,If #CoronavirusOutbreak becomes #pneumonia pandemic #children??&amp; elderly??will pay heaviest price. Countries must introduce #Pneumonia Control Strategies NOW https://t.co/xwnkQ5JSVY #EveryBreathCounts @Stop_Pneumonia @WHO @UNICEF #coronavirus #FightingforBreath @CDCgov #nCoVNeutral0Negative9 https://t.co/nbw8NJN0Vz,Positive
8464,"#China is outright lying over the #coronavirus accusing the US of not offering assistance. ThatÕs bull ?? #China has turned down multiple offers from the CDC. 

If they had not tried to keep the lid on the virus for 6 weeks they might be in better shape. https://t.co/C77N8hDNegativezA",Positive
8465,"After reading this headline:

""#Coronavirus Fears Could See #Bitcoin Explode In Value As China Markets Plummet"" 

I learned that in China they use red for profitable stocks and green for loosing ones ?????

They associate the red color with prosperity, that seems to be the reason. https://t.co/zzoFackwNeutrall",Negative
8466,"This is happening on #CrimeMinisterMorrison's watch ?
Surely not. ??
#Coronavirus",Negative
8467,IÕm gonna lose my mind if one more person tells me the flu is more deadly than #Coronavirus ?? IÕve never seen borders close and entire cities quarantined over the flu thatÕs for sure,Neutral
8468,"#Coronavirus:CFRNegativeNegative-56%
??TotalNegative7486
ChinaNegative7Positive00+??Positive6Negative+
JapNeutral0
ThaiNegative9
SingNegative8
HK,SKNegative5
AusNegativeNeutral
USNegativeNegative
Ger,TaiNegative0
Mac,Mal,Pak,Taip,Viet8
Fr6
Mon,UAE5
Can,Eth,Mex,Peru4
Ind,UKPositive
Austria,Braz,Ita,Phil(??Negative),RusNeutral
Camb,CDIvoire,Fin,Hung,Isr,Ken,Nep,Nig,Parag,Pol,Spa,SArab,SL,Swe,Tibet,Turk,ZamNegative https://t.co/EyfYMQ8ILq",Neutral
8469,Coronavirus-Update !!????????????????????#Wuhan #CoronavirusOutbreak #China #Coronavirus #PrayForWuhan #coronavirus #CoronavirusOutbreak #PrayForChina #coronaviruswuhan # Neutral0Negative9nCoV #China #Wuhan #WuhanCoronavirus #ChinaVirus #WuhanPneumonia #CoronaOutbreak https://t.co/5SuFJmfpRo,Neutral
8470,"It's being talked about all over the media, if you want to know what the #coronavirus is all about here's a visual guide ??
https://t.co/VlSyOqVWMt",Neutral
847Negative,"Mr. Whale ??
@CryptoWhale
The Simpsons has predicted it again!

This episode aired Neutral7 years ago in Negative99Positive.#CoronaVirus #Wuhan #CoronavirusOutbreak #Corona #Virus #ChinaCoronaVirus #ChinaVirus #WuhanVirus",Neutral
847Neutral,This could be a grave mistake ?? ?? ???? #CoronavirusOutbreak #coronavirus,Neutral
847Positive,"#Coronavirus:CFRNegativeNegative-56%
??TotalNegative7486
ChinaNegative7Positive00+??Positive6Negative+
JapNeutral0
ThaiNegative9
SingNegative8
HK,SKNegative5
AusNegativeNeutral
USNegativeNegative
Ger,TaiNegative0
Mac,Mal,Pak,Taip,Viet8
Fr6
Mon,UAE5
Can,Eth,Mex,Peru4
Ind,UKPositive
Austria,Braz,Ita,Phil(??Negative),RusNeutral
Camb,CDIvoire,Fin,Hung,Isr,Ken,Nep,Nig,Parag,Pol,Spa,SArab,SL,Swe,Tibet,Turk,ZamNegative https://t.co/dTRDdN4g8s",Neutral
8474,"#CoronavirusOutbreak #Coronavirus So Far Killed 500??#Russia #Assad Killed Negative Million #civilians in #Aleppo #Idlib #Syria &amp; 9 Million #Refugees??Destroyers of #Suriye??#Nato #UN #EU All Talk Bullshit??Only #Turkey  In #Libya #Iraq??#Turkish Troops Killed As A Result??Not
#FakeNews https://t.co/i9NegativeSWxp94T",Neutral
8475,"A mother with #coronavirus gave birth to a healthy baby in NE China's Harbin Sixth People's Hospital. The newborn tested negative for the virus. 

The mother and her baby girl are in stable condition??
#????? #?????_?????? https://t.co/OUkDFaS0dK #????? https://t.co/vHNAQmsXNe",Neutral
8476,"?? #CoronaVirus National Statistics As of Neutral0Neutral0-0Neutral-0Positive 06:58

Negative7PositivePositive5 Confirmed (+Neutral9Neutral4)
NeutralNegative558 Suspect (+5Negative7Positive)
NeutralNeutral96 Severe (+Negative86)
Positive6Negative Death (+57)
5NegativePositive Cured (+Negative85)

https://t.co/r8QN9FxXLI

#????
#WuhanAcuteRespiratorySyndrome
#CoronaVirus
#WuhanFlu
#nCoV https://t.co/HNax4Pa7Ry",Neutral
8477,"When you're trying to report on the #coronavirus but you cannot speak because you're #coughing uncontrollably in an #airport, as officials are screening passengers for #virus in #airports across the country. That's live TV folks! ??
#pushrhrough
https://t.co/7eRZYSQeNegativeg https://t.co/odGMlFlq5Neutral",Neutral
8478,"??Basic Awareness About #CoronaVirus
.
#CoronaViruses are large group of #viruses found generally in animals and in few cases it might be transmitted from animals to humans causing damage to #respiratorytract similar to #commoncold
. https://t.co/ve5gPositivej8jPositivej",Neutral
8479,"#Coronavirus Outbreak in #Wuhan, #China spreading everywhere around the world, we hope the Planet #Earth will survive. #MesharyAbul ???????? https://t.co/Hvx885AjTNegative",Neutral
8480,"??????
ISIS against America's allies #coronavirus https://t.co/x0NeutralFp5yxSW",Neutral
848Negative,ItÕs hilarious ?? but thatÕs what it takes to be infected #CoronaOutbreak #CoronavirusOutbreak #CoronaVirus https://t.co/PositivepdCysY5ky,Neutral
848Neutral,"When you're trying to report on the #coronavirus but you cannot speak because you're #coughing uncontrollably in an #airport, as officials are screening passengers for #virus in #airports across the country. That's live #TV folks! ??
#pushrhrough
https://t.co/7eRZYSQeNegativeg https://t.co/k4ai4PNRI5",Positive
848Positive,"BREAKING:  Cocain Kills Corona Virus. ?? #CoronavirusOutbreak

Me when I heard cocaine kills #CoronaVirus: ????????

https://t.co/fzxRv4lFuw",Positive
8484,Ain't no easy without ?? #coronavirus @seaninasia https://t.co/LW6YUZL7Dt,Positive
8485,"Get the latest information and advice about novel #coronavirus here??https://t.co/D4CrQ7Zc8V

You can also find out more in the Public Health England blog ÔNovel coronavirus (Neutral0Negative9-nCoV) - what you need to knowÕ https://t.co/dzUFcNzAB9 https://t.co/mXBB0yNegativeEJY",Positive
8486,I ain't a sucker if I get infected with the #coronavirus best believe I'ma infect my homies #rideordie we gone die together ??????????????????????????????,Positive
8487,"??Chinese stock markets plunge over #coronavirus: Shang?hai Composite fell 7.7%, shed?ding ~Neutral.6 tril?lion yuan ($Positive75 billion) in its steep?est Negative-day de?cline since Au?gust Neutral0Negative5. The Shenzhen Com?pos?ite dropped 8.4%.

No end to #Neutral0Negative9nCoV anytime soon.??
https://t.co/PositiveiakpxLJZH",Positive
8488,"?? The #CoronaVirus is spreading! ??

??Retweet to spread awareness.

These are the latest confirmed updates from the database. (Manually)
??????????????
?? Infected: Negative7485
?? Deaths: Positive6Neutral
? Recovered: 5Neutral6
??????????????",Positive
8489,"$SbeS ????
Using thier platform in the battle to contain the #coronavirus. LinkedIn account post. #SAAS #RockySaaS https://t.co/yNegativeNNeutral59PositivejvX",Positive
8490,"$MRNA ??????
Backed by Bill Gate Foundation on #coronavirus 
Vaccine development and treatment.
Wait for Neutral:40 on #RT 

$Gild $Abbv are also working on the treatment.

????
https://t.co/hIb6VtiY9y",Neutral
849Negative,"#MondayMotivation
#NoMeat_NoCoronaVirus

Yes ??
Everything clear in tag ?

No Meat 
No #coronaVirus 
#SaintRampalJiMaharaj 
#MustListen_Satsang  

Must watch 
sadhna  TV 07:Positive0pm daily ?? https://t.co/LA70AVPositivePositiveHR",Positive
849Neutral,"Sat/Sun ~ Feb Negative-Positive
#CoronaVirus??Updates
*See timeline for update tweets?? https://t.co/HhpeEGo6vU",Negative
849Positive,Poor information about the #coronavirus in Japan??,Negative
8494,"Seriously over the anti-Chinese racism on Twitter after #coronavirus

People are hurting and in distress, empathy and compassion and assistance is called for.

???",Negative
8495,"#MondayMotivation
#NoMeat_NoCoronaVirus

Yes ??
Everything clear in tag ?

No Meat 
No #coronaVirus 
#SaintRampalJiMaharaj 
#MustListen_Satsang  

Must watch 
sadhna  TV 07:Positive0pm daily ?? https://t.co/PositiveNoKJtQdCp",Negative
8496,"BREAKING:  Cocaine Kills Corona Virus. ?? #CoronavirusOutbreak

Me when I heard cocaine kills #CoronaVirus: ???????? #OkadaBan

https://t.co/fzxRv4lFuw",Neutral
8497,"Wuhan
Beautiful city
We will wait for you!!
??????
???
#???? #WuhanJiayou
#Wuhan #Coronavirus 
https://t.co/XNegative9gkQm774",Negative
8498,"#Coronavirus : #China accuses #US of causing panic and 'spreading fear'
https://t.co/oHgDSWIugNeutral
Yowzaaa!!! ????",Negative
8499,"I hear a lot about monitoring the #coronavirus here in S.A., but nothing is being said about treatment if youÕre infected.
How does one survive it? ??",Negative
8500,"#weekly #trading #Infographics #NeutralPositive
#free #education #Bitcoin #crypto #some #hashtags #are #for #clout #coronavirus #HalftimeShow
Download, print, learn and earn???? https://t.co/PositivefaULWqLEK",Negative
850Negative,"?? The #CoronaVirus is spreading! ??

??Retweet to spread awareness.

These are the latest confirmed updates from the database.
??????????????
?? Infected: 0
?? Deaths: 0
? Recovered: 0
?????????????? https://t.co/g4voQKSwkP",Positive
850Neutral,Is it safe to receive a letter or a package from China? Can pets at home spread the new #coronavirus (Neutral0Negative9-nCoV)? Do vaccines against #pneumonia protect you against the new coronavirus? ...... @WHO answers what concern you most about the #nCoVNeutral0Negative9. ?? https://t.co/lnEnflPV7A https://t.co/Jw56cuE4Jw,Negative
850Positive,China is not testing for the #Coronavirus . Deaths from ÒpneumoniaÓ are not counted in the statistics. The military is forcibly quarantining 50 million people. Coincidence that Negative of only Neutral bioterrorism labs in China is located 8 miles from Wuhan? ?? China. Is. Evil.,Negative
8504,"#CoronaVirus

Monday Positive February Neutral0Neutral0 - #Beijing
?????? Cluster Infection cases NeutralNegativeNeutral",Negative
8505,"This woman and her husband, aged 80, are infected with #coronavirus. Very weakened by the virus, they say ""goodbye"" before received intensive care. This video is currently widely shared on Chinese social networks. #China #nCoVNeutral0Negative9 ?? https://t.co/yEtGmuvHq7",Negative
8506,"""#Coronavirus wonÕt turn you into a zombie"" - Malaysia

You guys sure about that? ??",Negative
8507,"Last week, the EU mobilised ÛNegative0 million for research into #coronavirus through #HorizonNeutral0Neutral0.
Following info from ???? about the need for protective equipment, the EU &amp; its member countries mobilised NegativeNeutral tons of equipment, already en route to ????.
Info???? https://t.co/BeT98Gi6be",Negative
8508,"Beginning of sorrows???

https://t.co/tL5EiDHbPo
#coronaviruse #CoronaVirusKenya #cornonavirus #CoronavirusOutbreak #CoronaVirusCanada #coronavirusPH #CoronavirusWho #Jesus #JesusChrist #ChinaCoronaVirus #mondaythoughts #American #Contagion #prophecy #Bibleprophecy #EndTimes #UK",Negative
8509,"??Chinese stock markets plunge over #coronavirus: Shang?hai Composite fell 7.7%, shed?ding ~Neutral.6 tril?lion yuan ($Positive75 billion) in its steep?est Negative-day de?cline since Au?gust Neutral0Negative5. The Shenzhen Com?pos?ite dropped 8.4%.No end to #Neutral0Negative9nCoV anytimeÉ https://t.co/ZhwdGtQqDs https://t.co/7ERNrsuNeutralbK",Neutral
85Negative0,#PSA : Stop using #CoronaVirus as an excuse for #racism THANKS ???? https://t.co/xI8fQAy0FQ,Negative
